Pin ID,Filename,Board,Title,Description,Destination URL,Alt Text,Keywords,UTM Content,Recommended Publish Date,Recommended Publish Time,Priority,Status
PIN-28,pin-28-discovery.png,Deal Alerts & Restocks,What Happens When a Live Auction Starts at $1?,Fast-paced 15-second sudden death live bidding where auctions start at just $1 and anything can happen on stream.,https://thequadguy.github.io/whatnot-finds/deals/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin28,What happens when a live auction starts at 1 dollar graphic.,"1 dollar live auctions, live shopping deals, whatnot sudden death, deal alerts, live auction bidding",pin28,2026-08-22,10:00 AM EST,HIGH (Launch Lead),READY
PIN-19,pin-19-collectibles.png,Toys & Collectible Figures,Secret Chase Figures & Art Toys Live,"Watch streamers open blind boxes, unveil secret chase figures, and inspect limited-edition vinyl collectibles live on camera.",https://thequadguy.github.io/whatnot-finds/collectibles/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin19,Secret chase figures and art toys live discovery graphic.,"art toys, blind box unboxing, chase figure, vinyl toys, labubu secret, pop mart unboxing",pin19,2026-08-22,04:30 PM EST,HIGH (Launch Lead),READY
PIN-04,pin-04-pokemon.png,Trading Card Unboxings,Japanese Pokemon Cards: The Sets Worth Watching Live,"Discover exclusive Japanese Pokemon card sets, promo boxes, and high-class pack unboxings streamed live from verified independent collector hosts.",https://thequadguy.github.io/whatnot-finds/pokemon/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin04,Japanese Pokemon Cards live set unboxing guide graphic.,"japanese pokemon cards, japanese booster box, vstar universe, clay burst, pokemon promo cards",pin04,2026-08-23,10:00 AM EST,HIGH (Launch Lead),READY
PIN-02,pin-02-pokemon.png,Trading Card Unboxings,Where Collectors Find Vintage Pokemon Booster Packs,Explore live streams where collectors unbox vintage WOTC booster packs and illustration rare singles on high-definition video. Join the interactive collector community.,https://thequadguy.github.io/whatnot-finds/pokemon/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin02,Vintage Pokemon booster pack unboxing discovery graphic.,"vintage pokemon cards, pokemon booster box, wotc pokemon, live trading card stream, pokemon box break",pin02,2026-08-23,04:30 PM EST,HIGH (Launch Lead),READY
PIN-11,pin-11-sneakers.png,Collector Tips & Guides,How to Inspect Sneaker Condition on Live Video,"Check outsole star patterns, tongue tags, factory box stamps, and heel drag close-up on stream before placing your bid.",https://thequadguy.github.io/whatnot-finds/sneakers/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin11,How to inspect sneaker condition on live video guide.,"sneaker condition inspection, how to buy sneakers online, legit sneaker check, jordan 1 condition",pin11,2026-08-24,10:00 AM EST,HIGH (Launch Lead),READY
PIN-01,pin-01-pokemon.png,Pokemon Cards & TCG Collectibles,Pokemon Cards You Need to See Live on Stream,Watch Pokemon card breaks live on camera with real-time centering and holo foil inspections. Discover where collectors find rare singles and sealed packs.,https://thequadguy.github.io/whatnot-finds/pokemon/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin01,Pokemon Cards You Need to See Live discovery guide graphic with card inspection details.,"pokemon cards, pokemon tcg live break, rare pokemon cards, live box break, pokemon booster pack",pin01,2026-08-24,04:30 PM EST,STANDARD,READY
PIN-09,pin-09-sneakers.png,Sneaker & Streetwear Deals,Sneakers You Cant Find in Normal Stores,"Discover deadstock Jordan 1s, rare SB Dunks, and archive streetwear drops showcased live on camera by independent sneaker curators.",https://thequadguy.github.io/whatnot-finds/sneakers/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin09,Sneakers you cannot find in normal stores live shopping discovery graphic.,"deadstock sneakers, rare jordan 1, nike sb dunks, live sneaker auction, sneakerhead finds",pin09,2026-08-25,10:00 AM EST,STANDARD,READY
PIN-14,pin-14-fashion.png,Rare & Vintage Finds,Where Stylists Find Archive Luxury Pieces,"Discover vintage denim, distressed leather jackets, runway archive pieces, and designer accessories shown live by boutique fashion curators.",https://thequadguy.github.io/whatnot-finds/fashion/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin14,Where stylists find archive luxury pieces editorial graphic.,"archive fashion, vintage designer clothing, live fashion thrifting, runway archive grails",pin14,2026-08-25,04:30 PM EST,STANDARD,READY
PIN-20,pin-20-collectibles.png,Toys & Collectible Figures,Rare Anime Statues & Studio Figures Live,"Inspect paint applications, scale details, and studio boxes on high-definition video before bidding on rare licensed anime figures.",https://thequadguy.github.io/whatnot-finds/collectibles/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin20,Rare Anime Statues and studio figures live showcase graphic.,"anime figures, scale statue unboxing, studio resin statues, anime collectibles live",pin20,2026-08-26,10:00 AM EST,STANDARD,READY
PIN-24,pin-24-beauty.png,Live Shopping Deals & Finds,Dewy Glass Skin & Barrier Care Swatches,"Watch trending Korean beauty serums, toners, and cushion foundations swatched on real skin live on camera before buying.",https://thequadguy.github.io/whatnot-finds/beauty/?utm_source=pinterest&utm_medium=organic&utm_campaign=whatnot_referral&utm_content=pin24,Dewy glass skin and barrier care swatches beauty graphic.,"k beauty swatches, glass skin routine, korean skincare live, barrier serum, cushion foundation",pin24,2026-08-26,04:30 PM EST,STANDARD,READY
