Pin ID,Filename,Board,Title,Publish Date,Publish Time,Priority
PIN-28,pin-28-discovery.png,Deal Alerts & Restocks,What Happens When a Live Auction Starts at $1?,2026-08-22,10:00 AM EST,HIGH (Launch Lead)
PIN-19,pin-19-collectibles.png,Toys & Collectible Figures,Secret Chase Figures & Art Toys Live,2026-08-22,04:30 PM EST,HIGH (Launch Lead)
PIN-04,pin-04-pokemon.png,Trading Card Unboxings,Japanese Pokemon Cards: The Sets Worth Watching Live,2026-08-23,10:00 AM EST,HIGH (Launch Lead)
PIN-02,pin-02-pokemon.png,Trading Card Unboxings,Where Collectors Find Vintage Pokemon Booster Packs,2026-08-23,04:30 PM EST,HIGH (Launch Lead)
PIN-11,pin-11-sneakers.png,Collector Tips & Guides,How to Inspect Sneaker Condition on Live Video,2026-08-24,10:00 AM EST,HIGH (Launch Lead)
PIN-01,pin-01-pokemon.png,Pokemon Cards & TCG Collectibles,Pokemon Cards You Need to See Live on Stream,2026-08-24,04:30 PM EST,STANDARD
PIN-09,pin-09-sneakers.png,Sneaker & Streetwear Deals,Sneakers You Cant Find in Normal Stores,2026-08-25,10:00 AM EST,STANDARD
PIN-14,pin-14-fashion.png,Rare & Vintage Finds,Where Stylists Find Archive Luxury Pieces,2026-08-25,04:30 PM EST,STANDARD
PIN-20,pin-20-collectibles.png,Toys & Collectible Figures,Rare Anime Statues & Studio Figures Live,2026-08-26,10:00 AM EST,STANDARD
PIN-24,pin-24-beauty.png,Live Shopping Deals & Finds,Dewy Glass Skin & Barrier Care Swatches,2026-08-26,04:30 PM EST,STANDARD
PIN-27,pin-27-discovery.png,Live Shopping Deals & Finds,The Interactive Way to Discover Rare Finds,2026-08-27,04:30 PM EST,STANDARD
PIN-03,pin-03-pokemon.png,Whatnot Livestream Highlights,What It Looks Like When a 1st Edition Charizard Gets Pulled,2026-08-28,10:00 AM EST,STANDARD
PIN-10,pin-10-sneakers.png,Sneaker & Streetwear Deals,What Sneakerheads Find in Live Stream Auctions,2026-08-28,04:30 PM EST,STANDARD
PIN-15,pin-15-fashion.png,Rare & Vintage Finds,Vintage Leather & Designer Denim Live,2026-08-29,10:00 AM EST,STANDARD
PIN-21,pin-21-collectibles.png,Collector Tips & Guides,The Art Toy Collector Guide to Blind Boxes,2026-08-29,04:30 PM EST,STANDARD
PIN-25,pin-25-beauty.png,Live Shopping Deals & Finds,K-Beauty Swatches You Need to See Live,2026-08-30,10:00 AM EST,STANDARD
PIN-29,pin-29-discovery.png,Collector Tips & Guides,How Live Stream Shopping Actually Works,2026-08-30,04:30 PM EST,STANDARD
PIN-05,pin-05-pokemon.png,Collector Tips & Guides,5 Signs a Live Pokemon Streamer Knows Their Stuff,2026-08-31,10:00 AM EST,STANDARD
PIN-12,pin-12-sneakers.png,Sneaker & Streetwear Deals,Deadstock Sneaker Grails Live on Camera,2026-08-31,04:30 PM EST,STANDARD
PIN-16,pin-16-fashion.png,Rare & Vintage Finds,Designer Handbags Shown in 360 Video,2026-09-01,10:00 AM EST,STANDARD
PIN-22,pin-22-collectibles.png,Toys & Collectible Figures,Pop Culture Grails Opened on Camera,2026-09-01,04:30 PM EST,STANDARD
PIN-26,pin-26-beauty.png,Collector Tips & Guides,How Beauty Enthusiasts Test Products Live,2026-09-02,10:00 AM EST,STANDARD
PIN-30,pin-30-discovery.png,Live Shopping Deals & Finds,5 Reasons Live Shopping Is Taking Over,2026-09-02,04:30 PM EST,STANDARD
PIN-06,pin-06-pokemon.png,Pokemon Cards & TCG Collectibles,The Hidden Gems in Japanese Booster Boxes,2026-09-03,10:00 AM EST,STANDARD
PIN-13,pin-13-sneakers.png,Collector Tips & Guides,5 Things to Check Before Bidding on Rare Kicks,2026-09-03,04:30 PM EST,STANDARD
PIN-17,pin-17-fashion.png,Whatnot Livestream Highlights,How Live Fashion Shows Change Thrifting,2026-09-04,10:00 AM EST,STANDARD
PIN-23,pin-23-collectibles.png,Collector Tips & Guides,5 Hard-to-Find Toys Collectors Hunt For,2026-09-04,04:30 PM EST,STANDARD
PIN-07,pin-07-pokemon.png,Trading Card Unboxings,Why Collectors Are Hunting Japanese Booster Boxes,2026-09-06,10:00 AM EST,STANDARD
PIN-18,pin-18-fashion.png,Rare & Vintage Finds,5 Vintage Clothing Grails Found on Stream,2026-09-07,10:00 AM EST,STANDARD
PIN-08,pin-08-pokemon.png,Trading Card Grading & Value,PSA 10 Hunting in Live Box Breaks,2026-09-08,10:00 AM EST,STANDARD
